lvl1,lvl2,num
0,0,-0.909230110957
1,0,0.556000123166
0,1,0.349229927241
1,1,0.293450516514
0,0,-0.487345254738
1,0,-0.354327621468
0,1,-0.604535556799
1,1,-0.126434334858
0,0,1.00300379021
1,0,-0.792856927564
0,1,0.681839944657
1,1,-0.727335938138
0,0,-1.70080113148
1,0,-0.896253089476
0,1,0.242763300639
1,1,0.776840911879
0,0,-0.607792323987
1,0,-1.50041292131
0,1,-0.484469419012
1,1,-0.0209371151981
0,0,-0.577319153795
1,0,1.72434134759
0,1,0.996328221849
1,1,0.723150365908
0,0,0.235768228252
1,0,0.25029993066
0,1,-1.05606522966
1,1,-1.40983551819
0,0,-0.806597707445
1,0,-1.08604162033
0,1,-0.0924137701751
1,1,0.71002939039
0,0,1.02025016497
1,0,-0.0596079977127
0,1,-1.89108079622
1,1,-0.150316140384
0,0,-1.84238569052
1,0,0.265924682172
0,1,-0.279486949201
1,1,0.207639755498
0,0,-0.0672866387526
1,0,-1.15956841041
0,1,1.03140748245
1,1,-0.549094231501
0,0,-0.0980420749344
1,0,-0.802940628221
0,1,-0.806503115299
1,1,0.636700449269
0,0,-1.42569294602
1,0,-0.955326707672
0,1,0.293367564856
1,1,0.483491326135
0,0,0.772915665842
1,0,-0.334416471514
0,1,0.964731635429
1,1,0.413995691553
0,0,1.57801789929
1,0,-0.21956671986
0,1,0.519682113096
1,1,0.349256868027
0,0,0.340483500323
1,0,-1.29546895527
0,1,-0.793213503535
1,1,-0.228594208618
0,0,0.41830744888
1,0,-0.418402882188
0,1,-0.318281056026
1,1,-1.85587366214
0,0,-0.00555484396494
1,0,0.524036860834
0,1,-0.196063029794
1,1,0.168629763331
0,0,0.0381231937071
1,0,-1.20737075126
0,1,-0.364590548996
1,1,-0.194534876419
0,0,-1.46322604751
1,0,0.41150473172
0,1,-0.746655158304
1,1,0.989395823104
0,0,1.49540699302
1,0,-0.400814731753
0,1,-0.736353597344
1,1,-0.563082566861
0,0,1.2753273051
1,0,-2.68580840867
0,1,2.07420475117
1,1,-1.07576315736
0,0,0.817793957413
1,0,0.171906610993
0,1,0.0637964260666
1,1,-1.09011989399
0,0,0.11236309808
1,0,0.606152918472
0,1,-1.38783654344
1,1,-0.154759906705
0,0,-1.12340564774
1,0,0.66392191377
0,1,0.761887963624
1,1,1.54666059556
